Référence;Domaine;Sous-fonction;Intitulé;Description (Tableau 5);Classe C;Classe B;Classe A
4.6.1;4. Régulation de la ventilation et de la climatisation;4.6 Régulation de la récupération de chaleur: protection contre le gel;Avec protection contre le gel;Avec protection contre le gel: une boucle de régulation permet de garantir que la température de l’air extrait de l’échangeur de chaleur n’est pas trop basse afin d’'éviter un gel;;OUI;OUI
4.7.1;4. Régulation de la ventilation et de la climatisation;4.7 Régulation de la récupération de chaleur: prévention des surchauffes;Avec régulation des surchauffes;Avec régulation de surchauffe: au cours des périodes où l’effet de l’échangeur de chaleur sera plus positif, une boucle de récupération basculera entre les états « arrêt », « modulation » ou contournement de l’échangeur de chaleur. Au cours des périodes où l’effet de l’échangeur de chaleur ne sera plus positif, une boucle de régulation basculera entre les états « arrêt », « modulation » ou contournement de l’échangeur de chaleur.;;OUI;OUI
4.8.1;4. Régulation de la ventilation et de la climatisation;4.8 Refroidissement mécanique naturel;Refroidissement nocturne;"La quantité d’air extérieur est établie à sa valeur maximale au cours de la période prévue de non-occupation si : • La température ambiante dépasse le point de consigne pour la période de confort ; • La différence entre la température ambiante et la température extérieure est suffisante.";OUI;;
4.9.1;4. Régulation de la ventilation et de la climatisation;4.9 Régulation de la température de l’air introduit;Point de consigne constant;Une boucle de régulation permet de réguler la température de l’air introduit. Le point de consigne est constant et ne peut être modifié que par une action manuelle.;OUI;;
4.10.1;4. Régulation de la ventilation et de la climatisation;4.10 Régulation de l’humidité;Régulation en fonction du point de rosée;L’humidité de l’air introduit ou de l’air ambiant est exprimée à l’aide de la température du point de rosée et du réchauffement de l’air introduit afin d’amener l’humidité relative jusqu’au point de consigne.;OUI;;
5.1.1;5. Commande de l’éclairage;5.1 Commande basée sur l’occupation;Interrupteur manuel de mise en marche/arrêt + signal supplémentaire d'extinction;Les luminaires sont éteints et allumés avec un interrupteur manuel dans la pièce. De plus, un signal automatique éteint automatiquement les lumières au moins une fois par jour, habituellement le soir pour éviter un fonctionnement inutile au cours de la nuit.;OUI;;
5.2.1;5. Commande de l’éclairage;5.2 Régulation de l’intensité lumineuse/de la lumière naturelle;Manuelle ou manuelle centralisée;Les luminaires peuvent être commandés avec un interrupteur manuel dans la pièce ou de manière centralisée depuis un point central.;OUI;;
7.1.2;7. Gestion technique pour les foyers domestiques et les bâtiments;7.1 Gestion des points de consigne;Adaptation à partir d'’une pièce centrale;"Adaptation à partir d’une pièce centrale (par exemple poste de travail, Fonctionnement sur le web; les unités d’exploitation des pièces sont exclues). Les consignes peuvent être réglées à partir d'un point central. Il faut cependant que les options de réglage locales des consignes ne soient pas sélectionnées mécaniquement de manière fixe. Il est ainsi plus probable que les consignes seront réglées/réinitialisées, réduisant ainsi dans une certaine mesure la consommation d'énergie. Cela permet au système d’ajuster les systèmes techniques du bâtiment.";;OUI;
7.2.2;7. Gestion technique pour les foyers domestiques et les bâtiments;7.2 Gestion des temps de Fonctionnement;"Réglage individuel d'’après un horaire prédéfini; adaptation à partir d'’une pièce centrale; phases de pré-conditionnement variables";"Réglage individuel d'après un horaire prédéfini; adaptation à partir d’'une pièce centrale (par exemple poste de travail, Fonctionnement sur le web; les unités d’'exploitation des pièces sont exclues); phases de pré-conditionnement variables. Cette fonction permet une meilleure adaptation à la demande et ne maintient la plupart du temps l'installation en fonctionnement que lorsque cela est nécessaire.";;OUI;OUI
7.3.1;7. Gestion technique pour les foyers domestiques et les bâtiments;7.3 Détection des défauts des systèmes techniques des bâtiments et aide au diagnostic des ces défauts;Avec indication centralisée des défauts détectés et des alarmes;Les dérangements et avertissements sont remontés et signalés à un poste d’exploitation central accessible à l’exploitant. Le diagnostic dépend des capacités/disponibilités du personnel technique ou de l’exploitant. Nota : Cette fonction ne concerne pas l’efficacité des systèmes techniques mais uniquement leur état. Elle n’a pas pour objectif détecter les pertes d'efficacité des systèmes techniques et d’informer l'exploitant du bâtiment des possibilités d'amélioration de l'efficacité énergétique (cf. fonction 7.4).;OUI;;
7.4.2;7. Gestion technique pour les foyers domestiques et les bâtiments;7.4 Compte-rendu des informations concernant la consommation énergétique et les conditions intérieures;Analyse, évaluation de la performance, étalonnage;"Analyse, évaluation de la performance, étalonnage de l’environnement intérieur et de l’énergie. Le système suit, enregistre et analyse en continu, par zone fonctionnelle et à un pas de temps horaire, les données de production et de consommation énergétique des systèmes techniques du bâtiment. Ces données sont conservées à l'échelle mensuelle pendant cinq ans ; Les données de consommation et les informations de tendance permettent : • De situer l'efficacité énergétique du bâtiment par rapport à des valeurs de référence, correspondant aux données d'études énergétiques ou caractéristiques de chacun des systèmes techniques ; • Une détection précoce des modifications et des pertes d'efficacité des systèmes techniques et informent l'exploitant du bâtiment des possibilités d'amélioration de l'efficacité énergétique. Le système permet d’ajuster les systèmes techniques en conséquence. Des fonctions d'analyse et d'évaluation alliées à une appréciation des conditions énergétiques et environnementales en intérieur permettent de remédier à une augmentation de la consommation d'énergie de manière précoce et ciblée.";;;OUI
7.5.0;7. Gestion technique pour les foyers domestiques et les bâtiments;7.5 Production d'énergie locale et énergies renouvelables;"Génération non régulée en fonction de la disponibilité variable des sources d’énergies renouvelables et/ou du temps de production combinée de chaleur et d’électricité ; le surplus sera transféré dans le réseau";Cette fonction s’applique uniquement aux productions d’énergie interconnectées avec un réseau collectif de type smart grid. Le système ne tient pas compte de toutes les possibilités de production locale d'énergie et d'utilisation des sources d'énergie renouvelables. Celles-ci ne sont donc pas toutes exploitées à pleine capacité. Les systèmes de production d’énergie du site fonctionnent de manière autonome bien qu’il soit connectés à un smart grid.;OUI;;
7.6.1;7. Gestion technique pour les foyers domestiques et les bâtiments;7.6 Récupération des déperditions de chaleur et transfert de chaleur;Utilisation maîtrisée des déperditions de chaleur ou du transfert de chaleur (y compris le stockage/la consommation de l'énergie thermique stockée);Utilisation maîtrisée des déperditions de chaleur ou du transfert de chaleur (y compris le stockage/la consommation de l'’énergie thermique stockée). Cette fonction s’applique uniquement aux systèmes permettant de faire de la récupération d’énergie fatale. Cette fonction tient compte de l'écart temporel entre l'utilisation et la disponibilité de la chaleur fatale, ce qui permet de mieux exploiter et d'optimiser la chaleur fatale et le transfert de chaleur. Les systèmes de régulation devront piloter le stockage et le déstockage de l’énergie fatale captée afin d’en maximiser la récupération.;;OUI;OUI
7.7.0;7. Gestion technique pour les foyers domestiques et les bâtiments;7.7 Intégration dans un réseau intelligent;"Aucune harmonisation entre le réseau et les systèmes énergétiques du bâtiment ; le bâtiment est exploité indépendamment de la charge du réseau";Cette fonction permet l’adaptation du pilotage du bâtiments (par exemple via le délestage) en fonction de la charge des réseaux (électricité ou gaz) de distribution nationale. Cette fonction fait référence entre autres aux fonctionnalités Ecowatt ou de flexibilité électrique.;OUI;;
